SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000158-d2o-0.5mM-6-14-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 366 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.398e+00     6.839e-02  
T     =       2.575s       15.944s  

RSS   =    2.281e-03
SD    =    8.720e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.012e+00     1.244e-02
    2       2.000s     7.271e-01     7.034e-01    -2.377e-02
    3       3.000s     4.907e-01     4.927e-01     1.983e-03
    4       4.000s     3.455e-01     3.489e-01     3.453e-03
    5       5.000s     2.533e-01     2.505e-01    -2.741e-03
    6       6.000s     1.790e-01     1.829e-01     3.971e-03
    7       7.000s     1.260e-01     1.363e-01     1.035e-02
    8       8.000s     9.793e-02     1.040e-01     6.024e-03
    9       9.000s     7.907e-02     8.130e-02     2.231e-03
   10      10.000s     5.904e-02     6.529e-02     6.249e-03
   11      11.000s     4.522e-02     5.381e-02     8.592e-03
   12      12.000s     4.232e-02     4.545e-02     3.128e-03
   13      13.000s     4.218e-02     3.923e-02    -2.952e-03
   14      14.000s     3.986e-02     3.451e-02    -5.357e-03
   15      15.000s     4.070e-02     3.082e-02    -9.880e-03
   16      16.000s     4.549e-02     2.787e-02    -1.762e-02
   17      17.000s     4.495e-02     2.545e-02    -1.950e-02
   18      18.000s     3.515e-02     2.340e-02    -1.175e-02
   19      19.000s     2.478e-02     2.164e-02    -3.133e-03
   20      20.000s     2.088e-02     2.010e-02    -7.764e-04
   21      21.000s     1.942e-02     1.872e-02    -6.910e-04
   22      22.000s     1.536e-02     1.748e-02     2.119e-03
   23      23.000s     1.131e-02     1.635e-02     5.040e-03
   24      24.000s     1.025e-02     1.531e-02     5.053e-03
   25      25.000s     9.350e-03     1.434e-02     4.992e-03
   26      26.000s     6.529e-03     1.345e-02     6.920e-03
   27      27.000s     5.112e-03     1.262e-02     7.504e-03
   28      28.000s     6.685e-03     1.184e-02     5.153e-03
   29      29.000s     6.932e-03     1.111e-02     4.181e-03
   30      30.000s     3.508e-03     1.043e-02     6.924e-03

============================================================

