SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000340-d2o-2mM-6-15-2011/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 347 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.417e+00     1.848e-02  
T     =       2.990s       41.161s  

RSS   =    6.695e-03
SD    =    1.494e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.032e+00     3.221e-02
    2       2.000s     7.847e-01     7.435e-01    -4.122e-02
    3       3.000s     5.613e-01     5.367e-01    -2.453e-02
    4       4.000s     3.919e-01     3.886e-01    -3.256e-03
    5       5.000s     2.737e-01     2.825e-01     8.825e-03
    6       6.000s     1.878e-01     2.065e-01     1.861e-02
    7       7.000s     1.299e-01     1.519e-01     2.203e-02
    8       8.000s     9.670e-02     1.128e-01     1.610e-02
    9       9.000s     7.528e-02     8.469e-02     9.419e-03
   10      10.000s     5.629e-02     6.448e-02     8.195e-03
   11      11.000s     4.287e-02     4.993e-02     7.053e-03
   12      12.000s     3.842e-02     3.942e-02     9.981e-04
   13      13.000s     3.724e-02     3.180e-02    -5.440e-03
   14      14.000s     3.404e-02     2.627e-02    -7.772e-03
   15      15.000s     3.213e-02     2.223e-02    -9.900e-03
   16      16.000s     3.496e-02     1.925e-02    -1.571e-02
   17      17.000s     3.770e-02     1.704e-02    -2.066e-02
   18      18.000s     3.450e-02     1.538e-02    -1.912e-02
   19      19.000s     2.770e-02     1.411e-02    -1.359e-02
   20      20.000s     2.258e-02     1.313e-02    -9.452e-03
   21      21.000s     1.827e-02     1.236e-02    -5.909e-03
   22      22.000s     1.129e-02     1.173e-02     4.435e-04
   23      23.000s     4.115e-03     1.122e-02     7.101e-03
   24      24.000s     2.406e-03     1.078e-02     8.372e-03
   25      25.000s     5.754e-03     1.040e-02     4.646e-03
   26      26.000s     7.943e-03     1.006e-02     2.121e-03
   27      27.000s     5.766e-03     9.761e-03     3.995e-03
   28      28.000s     1.909e-03     9.482e-03     7.573e-03
   29      29.000s    -6.406e-04     9.223e-03     9.864e-03
   30      30.000s    -1.858e-03     8.979e-03     1.084e-02

============================================================

